-2.5	0.593	51.8
-5	0.503	54.4
-7.5	0.397	59
-10	0.279	63.9
-12.5	0.14	64
-15	0.051	37.7
-17.5	0.072	-71.7
-20	0.132	-85.3
-22.5	0.15	-87.9
-25	0.132	-89.8
-27.5	0.105	-92.4
-30	0.076	-96.3
-32.5	0.045	-105.6
-35	0.019	-144.9
-37.5	0.028	128
-40	0.049	113.6
-42.5	0.056	109.6
-45	0.052	108.4
-47.5	0.044	107.4
-50	0.034	106.1
-52.5	0.02	102
-55	0.006	79.9
-57.5	0.006	-31.4
-60	0.014	-55
-62.5	0.017	-60
-65	0.013	-61.4
-67.5	0.011	-63
-70	0.007	-67
-75	0.002	173
-80	0.006	136
-85	0.006	133
-90	0.003	128
-95	0.001	90
-100	0.002	-32
